"N" "Gill,Gill" "Gill,GIT" "Gill,Lung" "Gill,Mouth" "Gill,Skin" "Gill,Swimbladder" "GIT,Gill" "GIT,GIT" "GIT,Lung" "GIT,Mouth" "GIT,Skin" "GIT,Swimbladder" "Lung,Gill" "Lung,GIT" "Lung,Lung" "Lung,Mouth" "Lung,Skin" "Lung,Swimbladder" "Mouth,Gill" "Mouth,GIT" "Mouth,Lung" "Mouth,Mouth" "Mouth,Skin" "Mouth,Swimbladder" "Skin,Gill" "Skin,GIT" "Skin,Lung" "Skin,Mouth" "Skin,Skin" "Skin,Swimbladder" "Swimbladder,Gill" "Swimbladder,GIT" "Swimbladder,Lung" "Swimbladder,Mouth" "Swimbladder,Skin" "Swimbladder,Swimbladder" "gains" "losses"
"1" 86 0 18 3 24 18 13 0 0 0 0 0 0 0 0 0 0 1 0 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 76 8
"210" 85 0 17 2 25 20 13 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 77 7
"310" 85 0 18 1 24 19 13 0 0 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 75 8
"410" 84 0 17 2 23 20 13 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 75 8
"510" 84 0 17 2 25 19 11 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 74 10
"610" 84 0 17 2 25 19 14 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 77 7
"710" 85 0 17 2 24 19 12 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 2 0 0 0 0 1 1 0 0 1 0 0 74 9
"810" 84 0 17 2 25 19 13 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 76 8
"910" 85 0 17 0 25 19 10 0 0 0 0 0 0 2 0 0 0 0 1 6 0 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 71 13
"102" 85 0 18 0 24 19 14 0 0 0 0 1 0 2 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 9
"111" 88 0 17 3 25 19 13 0 0 0 0 0 0 3 0 0 0 0 0 5 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 77 9
