"N" "Am,Am" "Am,Aq" "Aq,Am" "Aq,Aq"
"855" 94 0 6 88 0
"865" 98 0 7 91 0
"875" 92 0 4 88 0
"885" 90 0 7 83 0
"895" 91 0 6 85 0
"905" 89 0 4 85 0
"919" 91 0 4 87 0
"925" 90 0 6 84 0
"935" 89 0 4 85 0
"945" 91 0 5 86 0
"955" 91 0 10 81 0
"965" 90 0 5 85 0
"975" 89 0 2 87 0
"985" 87 0 5 82 0
"995" 93 0 6 87 0
"1005" 88 0 7 81 0
"119" 88 0 4 84 0
"220" 88 0 3 85 0
"320" 90 0 10 80 0
"420" 89 0 5 84 0
"520" 90 0 5 85 0
"620" 92 0 7 85 0
"720" 88 0 6 82 0
"820" 88 0 3 85 0
"920" 90 0 4 86 0
"107" 89 0 5 84 0
"1110" 88 0 4 84 0
"126" 95 0 10 85 0
"136" 88 0 4 84 0
"146" 92 0 6 86 0
"156" 90 0 6 84 0
"166" 90 0 4 86 0
"176" 87 0 2 85 0
"186" 91 0 6 85 0
"196" 90 0 6 84 0
"206" 88 0 6 82 0
"2110" 89 0 4 85 0
"226" 91 0 5 86 0
"236" 93 0 6 87 0
"246" 86 0 3 83 0
"256" 94 0 6 88 0
"266" 86 0 3 83 0
"276" 87 0 5 82 0
"286" 91 0 5 86 0
"296" 90 0 5 85 0
"306" 90 0 5 85 0
"3110" 86 0 3 83 0
"326" 88 0 4 84 0
"336" 96 0 8 88 0
"346" 88 0 5 83 0
"356" 91 0 7 84 0
"366" 90 0 5 85 0
"376" 91 0 5 86 0
"386" 91 0 6 85 0
"396" 92 0 5 87 0
"406" 86 0 3 83 0
"4110" 90 0 5 85 0
"426" 88 0 6 82 0
"436" 89 0 5 84 0
"446" 88 0 4 84 0
"456" 89 0 4 85 0
"466" 86 0 3 83 0
"476" 87 0 5 82 0
"486" 90 0 10 80 0
"496" 94 0 5 89 0
"506" 86 0 4 82 0
"5110" 92 0 7 85 0
"526" 88 0 4 84 0
"536" 88 0 4 84 0
"546" 91 0 9 82 0
"556" 90 0 6 84 0
"566" 89 0 4 85 0
"576" 91 0 5 86 0
"586" 92 0 4 88 0
"596" 91 0 7 84 0
"606" 86 0 5 81 0
"6110" 92 0 6 86 0
"626" 86 0 2 84 0
"636" 89 0 6 83 0
"646" 93 0 7 86 0
"656" 87 0 4 83 0
"666" 93 0 7 86 0
"676" 96 0 10 86 0
"686" 93 0 7 86 0
"696" 91 0 8 83 0
"706" 87 0 5 82 0
"7110" 86 0 3 83 0
"726" 89 0 5 84 0
"736" 86 0 4 82 0
"746" 89 0 3 86 0
"756" 89 0 5 84 0
"766" 88 0 5 83 0
"776" 89 0 5 84 0
"786" 88 0 4 84 0
"796" 88 0 3 85 0
"806" 90 0 5 85 0
"8110" 86 0 3 83 0
"826" 88 0 4 84 0
"836" 88 0 3 85 0
"846" 90 0 6 84 0
"856" 90 0 4 86 0
"866" 93 0 9 84 0
"876" 91 0 7 84 0
"886" 88 0 4 84 0
"896" 89 0 6 83 0
"906" 89 0 5 84 0
"9110" 86 0 3 83 0
"926" 88 0 5 83 0
"936" 89 0 5 84 0
"946" 90 0 5 85 0
"956" 88 0 5 83 0
"966" 86 0 4 82 0
"976" 87 0 4 83 0
"986" 86 0 4 82 0
"996" 90 0 6 84 0
"1006" 90 0 6 84 0
"120" 94 0 4 90 0
"227" 91 0 4 87 0
"327" 92 0 7 85 0
"427" 93 0 4 89 0
"527" 91 0 3 88 0
"627" 87 0 2 85 0
"727" 89 0 2 87 0
"827" 93 0 5 88 0
"927" 88 0 3 85 0
"108" 87 0 2 85 0
"1111" 92 0 5 87 0
"127" 90 0 2 88 0
"137" 94 0 5 89 0
"147" 87 0 1 86 0
"157" 88 0 1 87 0
"167" 89 0 2 87 0
"177" 90 0 4 86 0
"187" 95 0 5 90 0
"197" 87 0 2 85 0
"207" 89 0 3 86 0
"2111" 88 0 1 87 0
"228" 90 0 3 87 0
"237" 90 0 3 87 0
"247" 91 0 3 88 0
"257" 91 0 5 86 0
"267" 94 0 9 85 0
"277" 90 0 2 88 0
"287" 91 0 2 89 0
"297" 91 0 4 87 0
"307" 88 0 1 87 0
"3111" 91 0 4 87 0
"328" 90 0 1 89 0
"337" 91 0 5 86 0
"347" 96 0 5 91 0
"357" 89 0 2 87 0
"367" 88 0 4 84 0
"377" 87 0 0 87 0
"387" 96 0 8 88 0
"397" 94 0 5 89 0
"407" 96 0 6 90 0
"4111" 87 0 0 87 0
"428" 89 0 1 88 0
"437" 91 0 3 88 0
"447" 93 0 5 88 0
"457" 90 0 2 88 0
"467" 89 0 3 86 0
"477" 91 0 4 87 0
"487" 90 0 2 88 0
"497" 89 0 3 86 0
"507" 92 0 6 86 0
"5111" 93 0 4 89 0
"528" 92 0 3 89 0
"537" 93 0 5 88 0
"547" 92 0 8 84 0
"557" 92 0 5 87 0
"567" 91 0 5 86 0
"577" 89 0 3 86 0
"587" 91 0 3 88 0
"597" 90 0 5 85 0
"607" 95 0 4 91 0
"6111" 88 0 3 85 0
"628" 87 0 2 85 0
"637" 95 0 5 90 0
"647" 93 0 3 90 0
"657" 95 0 7 88 0
"667" 87 0 0 87 0
"677" 91 0 4 87 0
"687" 89 0 1 88 0
"697" 96 0 7 89 0
"707" 87 0 2 85 0
"7111" 88 0 2 86 0
"728" 92 0 5 87 0
"737" 87 0 1 86 0
"747" 90 0 1 89 0
"757" 91 0 4 87 0
"767" 88 0 3 85 0
"777" 90 0 3 87 0
"787" 88 0 1 87 0
"797" 87 0 1 86 0
"807" 89 0 3 86 0
"8111" 91 0 4 87 0
"828" 87 0 4 83 0
"837" 88 0 1 87 0
"847" 89 0 4 85 0
"857" 91 0 3 88 0
"867" 90 0 5 85 0
"877" 91 0 2 89 0
"887" 89 0 2 87 0
"897" 92 0 5 87 0
"907" 91 0 3 88 0
"9111" 89 0 2 87 0
"928" 95 0 6 89 0
"937" 90 0 4 86 0
"947" 87 0 1 86 0
"957" 89 0 2 87 0
"967" 87 0 2 85 0
"977" 87 0 2 85 0
"987" 93 0 4 89 0
"997" 90 0 2 88 0
"1007" 91 0 3 88 0
"128" 93 0 3 90 0
"229" 93 0 2 91 0
"329" 88 0 2 86 0
"429" 90 0 2 88 0
"529" 88 0 0 88 0
"629" 93 0 2 91 0
"729" 93 0 2 91 0
"829" 92 0 3 89 0
"929" 91 0 2 89 0
"109" 91 0 2 89 0
"1112" 90 0 3 87 0
"129" 90 0 3 87 0
"138" 89 0 2 87 0
"148" 91 0 1 90 0
"158" 91 0 2 89 0
"168" 93 0 3 90 0
"178" 88 0 3 85 0
"188" 88 0 0 88 0
"198" 91 0 3 88 0
"208" 91 0 3 88 0
"2112" 88 0 0 88 0
"2210" 90 0 3 87 0
"238" 91 0 4 87 0
"248" 91 0 2 89 0
"258" 88 0 1 87 0
"268" 92 0 2 90 0
"278" 91 0 2 89 0
"288" 95 0 4 91 0
"298" 88 0 2 86 0
"308" 90 0 4 86 0
